locus	sample	region	body_start	body_end	body_median_all	flank_median_all	diploid_cov_all	hapcopies_all	hap_class	hapcopies_dedup	nucfreq_total_sites	nucfreq_het_sites	nucfreq_het_frac	nucfreq_mean_alt_depth	nucfreq_available	sample_ref_cov	low_baseline	called_cn
HML-2_7p22.1	HG04115	3	4730259	4741716	34.0000	39.0000	39.0000	1.7436	diploid	1.6970	11458	51	0.0045	6.1176	True	44.0000	False	8
HML-2_7p22.1	HG04115	4	4738763	4750220	38.0000	36.0000	36.0000	2.1111	diploid	2.0667	11458	42	0.0037	6.8095	True	44.0000	False	8
HML-2_7p22.1	HG04115	5	4747267	4758724	37.0000	44.0000	44.0000	1.6818	diploid	1.6757	11458	51	0.0045	7.3725	True	44.0000	False	8
HML-2_7p22.1	HG04115	6	4755771	4767227	49.0000	44.0000	44.0000	2.2273	diploid	2.3333	11457	49	0.0043	11.1837	True	44.0000	False	8
HML-2_7p22.1	HG04115	7	4718613	4730070	81.0000	63.0000	63.0000	2.5714	diploid	2.3158	11458	31	0.0027	22.7097	True	44.0000	False	8
HML-2_7p22.1	HG04115	8	4727117	4738574	80.0000	63.0000	63.0000	2.5397	diploid	2.4000	11458	44	0.0038	19.0909	True	44.0000	False	8
HML-2_7q11.21	HG02809	1	8605829	8611549	28.0000	27.0000	27.0000	2.0741	diploid	1.9167	5721	15	0.0026	4.4667	True	27.0000	False	3
HML-2_7q11.21	HG02809	2	4310330	4316050	27.0000	27.0000	27.0000	2.0000	diploid	1.9200	5721	12	0.0021	5.5000	True	27.0000	False	3
HML-2_8p23.1d	HG00597	1	11496535	11508358	128.0000	115.0000	115.0000	2.2261	diploid	2.2200	11824	41	0.0035	36.9512	True	47.0000	False	3
HML-2_8p23.1d	HG00597	2	19369	31186	25.0000	20.0000	20.0000	2.5000	diploid	2.3158	11818	20	0.0017	4.4500	True	47.0000	False	3
HML-2_8p23.1d	HG01784	1	254483	266300	77.0000	71.0000	71.0000	2.1690	diploid	2.1846	11818	9	0.0008	23.3333	True	26.0000	False	3
HML-2_8p23.1d	HG01784	2	12350763	12362578	80.0000	70.0000	70.0000	2.2857	diploid	2.2188	11816	33	0.0028	14.3939	True	26.0000	False	3
HML-2_8p23.1d	HG02841	1	12418089	12429885	46.0000	41.0000	41.0000	2.2439	diploid	2.2286	11797	127	0.0108	11.0866	True	63.0000	False	3
HML-2_8p23.1d	HG02841	2	161983	173805	99.0000	90.0000	90.0000	2.2000	diploid	2.1013	0	0			True	63.0000	False	3
HML-2_8p23.1d	NA18967	1	11540772	11552595	56.0000	53.0000	53.0000	2.1132	diploid	2.0426	0	0			False	30.5000	False	3
HML-2_8p23.1d	NA18967	2	85141	96956	30.0000	26.0000	26.0000	2.3077	diploid	2.3333	0	0			False	30.5000	False	3
HML-2_8p23.1d	NA18974	1	11715720	11727543	100.0000	86.0000	86.0000	2.3256	diploid	2.2716	0	0			False	65.5000	False	3
HML-2_8p23.1d	NA18974	2	258337	270154	117.0000	106.0000	106.0000	2.2075	diploid	2.1250	0	0			False	65.5000	False	3
HML-2_8p23.1e	HG02668	1	12828976	12840799	87.0000	81.0000	81.0000	2.1481	diploid	2.1127	0	0			False	38.0000	False	3
HML-2_8p23.1e	HG02668	2	215671	227489	33.0000	26.0000	26.0000	2.5385	diploid	2.5217	0	0			False	38.0000	False	3
HML-2_8q24.3c	HG00706	1	145660666	145670417	42.0000	40.0000	40.0000	2.1000	diploid	1.9459	9752	28	0.0029	8.2500	True	33.0000	False	3
HML-2_8q24.3c	HG00706	2	135837	145721	29.0000	26.0000	26.0000	2.2308	diploid	2.1739	9885	13	0.0013	5.3846	True	33.0000	False	3
HML-2_8q24.3c	NA19338	1	147511642	147520620	54.0000	52.0000	52.0000	2.0769	diploid	1.9583	0	0			False	52.0000	False	3
HML-2_8q24.3c	NA19338	2	50369	68165	3.0000		0.0000		NA		0	0			False	52.0000	True	3
HML-2_Xq11.1	NA21309	1	203989	209047	61.0000	56.0000	56.0000	2.1786	diploid	2.1224	0	0			False	42.5000	False	4
HML-2_Xq11.1	NA21309	2	188129	193187	37.0000	31.0000	31.0000	2.3871	diploid	2.3077	0	0			False	42.5000	False	4
HML-2_Xq11.1	NA21309	3	61157258	61162316	38.0000	34.0000	34.0000	2.2353	diploid	2.2759	0	0			False	42.5000	False	4
HML-2_Xq11.1	NA21309	4	195121	200179	56.0000	51.0000	51.0000	2.1961	diploid	2.1364	0	0			False	42.5000	False	4
HML-2_Xq28b	NA21110	1	153644019	153649499	48.0000	42.0000	42.0000	2.2857	diploid	2.2778	0	0			False	42.0000	False	3
HML-2_Xq28b	NA21110	2	1	13937	1.0000		0.0000		NA		0	0			False	42.0000	True	3
HML-2_Yq11.23a	HG00280	1	487834	491853	0.0000	0.0000	0.0000		NA		0	0			True	39.5000	True	3
HML-2_Yq11.23a	HG00280	2	487834	491853	0.0000	0.0000	0.0000		NA		0	0			True	39.5000	True	3
HML-2_Yq11.23a	HG02015	1	10930	14949	3.0000	3.0000	3.0000		NA		0	0			False	27.5000	True	3
HML-2_Yq11.23a	HG02015	2	952769	956788	55.0000	52.0000	52.0000	2.1154	diploid	2.1905	0	0			False	27.5000	False	3
HML-2_Yq11.23a	NA18620	1	5160440	5164459	43.0000	38.0000	38.0000	2.2632	diploid	2.2286	0	0			False	36.0000	False	3
HML-2_Yq11.23a	NA18620	2	791670	795689	42.0000	34.0000	34.0000	2.4706	diploid	2.5000	0	0			False	36.0000	False	3
HML-2_Yq11.23a	NA18974	1	286389	290408	46.0000	41.0000	41.0000	2.2439	diploid	2.2778	0	0			False	65.5000	False	3
HML-2_Yq11.23a	NA18974	2	883820	887839	54.0000	45.0000	45.0000	2.4000	diploid	2.3636	0	0			False	65.5000	False	3
HML-2_Yq11.23a	NA20809	1	24476906	24480925	54.0000	45.0000	45.0000	2.4000	diploid	2.3902	0	0			False	34.0000	False	3
HML-2_Yq11.23a	NA20809	2	74315	78334	26.0000	23.0000	23.0000	2.2609	diploid	2.2857	0	0			False	34.0000	False	3
HML-2_Yq11.23b	HG02083	1	42616	46635	26.0000	22.0000	22.0000	2.3636	diploid	2.4211	0	0			False	32.0000	False	3
HML-2_Yq11.23b	HG02083	2	1313363	1317382	48.0000	42.0000	42.0000	2.2857	diploid	2.3333	0	0			False	32.0000	False	3
HML-2_Yq11.23b	HG02514	1	197483	201502	31.0000	29.0000	29.0000	2.1379	diploid	2.1600	0	0			False	29.0000	False	3
HML-2_Yq11.23b	HG02514	2	192004	196023	30.0000	29.0000	29.0000	2.0690	diploid	2.1600	0	0			False	29.0000	False	3
HML-2_Yq11.23b	HG03098	1	827503	831522	77.0000	60.0000	60.0000	2.5667	diploid	2.6154	0	0			False	91.0000	False	4
HML-2_Yq11.23b	HG03098	2	60451	64470	101.0000	91.0000	91.0000	2.2198	diploid	2.3077	0	0			False	91.0000	False	4
HML-2_Yq11.23b	HG03098	3	292140	296159	131.0000	120.0000	120.0000	2.1833	diploid	2.2745	0	0			False	91.0000	False	4
HML-2_Yq11.23b	HG03688	1	5112372	5116391	41.0000	37.0000	37.0000	2.2162	diploid	2.3226	0	0			False	33.5000	False	3
HML-2_Yq11.23b	HG03688	2	1227036	1231055	30.0000	30.0000	30.0000	2.0000	diploid	2.0769	0	0			False	33.5000	False	3
HML-2_Yq11.23b	NA18608	1	25023023	25027042	40.0000	37.0000	37.0000	2.1622	diploid	2.1143	0	0			False	22.0000	False	3
HML-2_Yq11.23b	NA18608	2	637399	641418	35.0000	31.0000	31.0000	2.2581	diploid	2.2759	0	0			False	22.0000	False	3
HML-2_Yq11.23b	NA21093	1	809011	813030	46.0000	42.0000	42.0000	2.1905	diploid	2.2051	0	0			False	46.0000	False	3
HML-2_Yq11.23b	NA21093	2	3488869	3492888	57.0000	50.0000	50.0000	2.2800	diploid	2.3333	0	0			False	46.0000	False	3
